benchmark,model,ece,n_ece,nan_ece,n,attainment,se
Park-Fav,Domain Adaptation (MMD),0.4047642571345322,40,0,40,0.8074175824175824,0.014611387920476586
Park-Fav,End-to-End Joint,0.40959575502015955,40,0,40,0.8359890109890109,0.015041598792469984
Park-Fav,Feature-extraction transfer,0.4234338876723672,40,0,40,0.782142857142857,0.017316635061255966
Park-Fav,MFGP,0.14453653221550183,40,0,40,0.6153846153846145,0.01802675372607209
Park-Fav,Pretrain-then-Joint,0.3877244259680027,40,0,40,0.939010989010989,0.0034064116149604947
Park-Fav,Progressive,0.38966238462094593,40,0,40,0.9456043956043956,0.0019653802218391465
Park-Fav,Sequential,0.42323765781707606,40,0,40,0.7835164835164834,0.016791524488113784
Park-Fav,Soft Parameter Sharing,0.39457308109267436,40,0,40,0.9412087912087912,0.0031612542748593285
Park-Fav,Sparse MFGP,0.22228940539815278,40,0,40,0.8343406593406592,0.019022897372497984
Park-Fav,Stop-Gradient Joint,0.44340304745490117,40,0,40,0.7370879120879117,0.02166724305986242
Park-Unfav,Adapter,0.37142575548950685,40,0,40,0.8513736263736265,0.018295230928296623
Park-Unfav,DKL,0.24011026767021884,40,0,40,0.8420329670329672,0.01731126996348153
Park-Unfav,Domain Adaptation (MMD),0.37072784523506697,40,0,40,0.8013736263736263,0.01999889882371937
Park-Unfav,End-to-End Joint,0.3659724170122718,40,0,40,0.8598901098901098,0.01771378614318005
Park-Unfav,Feature-extraction transfer,0.3660913763138888,40,0,40,0.85,0.019541426707793484
Park-Unfav,MFGP,0.1729175487929495,40,0,40,0.7739010989010989,0.023617648627818674
Park-Unfav,Pretrain-then-Joint,0.3568790799394902,40,0,40,0.849175824175824,0.019033474520424386
Park-Unfav,Progressive,0.3629051466317218,40,0,40,0.8642857142857142,0.01582976131034919
Park-Unfav,Sequential,0.366311268118167,40,0,40,0.8508241758241759,0.019538802178668276
Park-Unfav,Soft Parameter Sharing,0.389518159769642,40,0,40,0.8678571428571431,0.017673262686086936
Park-Unfav,Sparse MFGP,0.204799694593445,40,0,40,0.8876373626373626,0.011761305931602005
Park-Unfav,Stop-Gradient Joint,0.36920811563233147,40,0,40,0.8552197802197803,0.018820390882688623
Polarizability,Adapter,0.37530494951776083,40,0,40,0.962579461071107,0.005436724890915964
Polarizability,DKL,0.12800380222766944,40,0,40,0.9449444944494448,0.009937041907512732
Polarizability,Domain Adaptation (MMD),0.368351057300793,40,0,40,0.9625794610711071,0.005436724890915964
Polarizability,End-to-End Joint,0.37305260752493663,40,0,40,0.9625794610711071,0.005436724890915964
Polarizability,Feature-extraction transfer,0.37510557939310596,40,0,40,0.9625794610711071,0.005436724890915964
Polarizability,MFGP,0.10557212822742527,40,0,40,0.9535469171917192,0.011211110659905727
Polarizability,Pretrain-then-Joint,0.3600269722110346,40,0,40,0.962579461071107,0.005436724890915964
Polarizability,Progressive,0.35868124593715045,40,0,40,0.9625794610711071,0.005436724890915964
Polarizability,Sequential,0.3749229496924493,40,0,40,0.962579461071107,0.005436724890915964
Polarizability,Soft Parameter Sharing,0.3718762117131679,40,0,40,0.962579461071107,0.005436724890915964
Polarizability,Sparse MFGP,0.20402668465051405,40,0,40,0.8438660272277227,0.032958519020838864
Polarizability,Stop-Gradient Joint,0.3809003838806711,40,0,40,0.9625794610711071,0.005436724890915964
