benchmark,model,seed,final_regret_vm,final_regret_slurm,auc_vm,auc_slurm,final_equal,auc_equal
Matbench-Gap,Progressive,49,0.02,0.02,0.6843067846607669,0.6843067846607669,True,True
Matbench-Gap,Progressive,50,0.0,0.0,0.2064896755162233,0.2064896755162233,True,True
Matbench-Gap,Progressive,51,0.01,0.01,0.1937758112094383,0.1937758112094383,True,True
HOPV15,SoftParameterSharing,47,0.0,0.0,2.135227272727263,2.135227272727263,True,True
HOPV15,SoftParameterSharing,48,2.8999999999999995,2.8999999999999995,3.826704545454541,3.826704545454541,True,True
HOPV15,SoftParameterSharing,49,0.0,0.0,3.243371212121207,3.243371212121207,True,True
HOPV15,SoftParameterSharing,50,4.699999999999999,4.699999999999999,5.089015151515151,5.089015151515151,True,True
HOPV15,SoftParameterSharing,51,0.0,0.0,0.4640151515151492,0.4640151515151492,True,True
Branin-Fav,PseudoLabeling,57,0.1388635850122277,0.1388635850122277,0.3143375985296913,0.3143375985296913,True,True
Branin-Fav,PseudoLabeling,58,1.0472265956176212,1.0472265956176212,3.3560810181460456,3.3560810181460456,True,True
Branin-Fav,PseudoLabeling,59,0.4078043888879996,0.4078043888879996,4.835514456862752,4.835514456862752,True,True
Branin-Fav,PseudoLabeling,60,0.0681981043913921,0.0681981043913921,2.6869272008653784,2.6869272008653784,True,True
Branin-Fav,PseudoLabeling,61,0.1388635850122277,0.1388635850122277,1.7422784014964765,1.7422784014964765,True,True
Branin-Unfav,TwoStageJoint,47,3.07657071621084,3.07657071621084,5.289425606094586,5.289425606094586,True,True
Branin-Unfav,TwoStageJoint,48,5.396536248624538,5.396536248624538,5.580903433842258,5.580903433842258,True,True
Branin-Unfav,TwoStageJoint,49,4.5702706526205095,4.5702706526205095,5.678322795037933,5.678322795037933,True,True
Branin-Unfav,TwoStageJoint,50,5.396536248624538,5.396536248624538,5.928475419243562,5.928475419243562,True,True
Branin-Unfav,TwoStageJoint,51,5.396536248624538,5.396536248624538,6.914690913398484,6.914690913398484,True,True
Park-Unfav,Curriculum,47,0.0,0.0,0.0,0.0,True,True
Park-Unfav,Curriculum,48,0.0,0.0,0.2078854145739867,0.2078854145739867,True,True
Park-Unfav,Curriculum,49,0.0,0.0,0.1792273713700167,0.1792273713700167,True,True
Park-Unfav,Curriculum,50,0.0,0.0,0.0,0.0,True,True
Park-Unfav,Curriculum,51,0.0,0.0,1.071791336651622e-08,1.071791336651622e-08,True,True
Park-Fav,Curriculum,42,0.0,0.0,0.1574726398026053,0.1574726398026053,True,True
Park-Fav,Curriculum,43,0.0,0.0,0.1111220081057651,0.1111220081057651,True,True
Park-Fav,Curriculum,44,0.0,0.0,0.1574726390305497,0.1574726390305497,True,True
Park-Fav,Curriculum,45,0.0,0.0,0.0830501504345781,0.0830501504345781,True,True
Park-Fav,Curriculum,46,0.0,0.0,0.1761528182404042,0.1761528182404042,True,True
Polarizability,Adapter,57,0.0,0.0,0.0277071767935957,0.0277071767935957,True,True
Polarizability,Adapter,58,0.0,0.0,0.0307803886214567,0.0307803886214567,True,True
Polarizability,Adapter,59,0.0,0.0,0.026387787422472,0.026387787422472,True,True
Polarizability,Adapter,60,0.0,0.0,0.006419955598516,0.006419955598516,True,True
Polarizability,Adapter,61,0.0,0.0,0.026387787422472,0.026387787422472,True,True
HOPV15,DNGOGradient,42,3.9,3.9,4.621022727272724,4.621022727272724,True,True
HOPV15,DNGOGradient,43,0.0,0.0,2.53617424242423,2.53617424242423,True,True
HOPV15,DNGOGradient,44,0.0,0.0,2.544886363636353,2.544886363636353,True,True
HOPV15,DNGOGradient,45,0.0,0.0,2.943749999999988,2.943749999999988,True,True
HOPV15,DNGOGradient,46,0.0,0.0,2.577651515151503,2.577651515151503,True,True
Branin-Unfav,KnowledgeDistillation,57,3.5800652789754164,3.5800652789754164,3.5800652789754177,3.5800652789754177,True,True
Branin-Unfav,KnowledgeDistillation,58,2.07151463205623,2.07151463205623,6.707494458961638,6.707494458961638,True,True
Branin-Unfav,KnowledgeDistillation,59,1.4870517848377072,1.4870517848377072,4.48187723435741,4.48187723435741,True,True
Branin-Unfav,KnowledgeDistillation,60,0.0681981043913921,0.0681981043913921,4.025883809083724,4.025883809083724,True,True
Branin-Unfav,KnowledgeDistillation,61,3.07657071621084,3.07657071621084,5.8174457841223965,5.8174457841223965,True,True
Polarizability,Progressive,52,0.0,0.0,0.0,0.0,True,True
Polarizability,Progressive,53,0.0,0.0,0.0321550990596623,0.0321550990596623,True,True
Polarizability,Progressive,54,0.0,0.0,0.0,0.0,True,True
Polarizability,Progressive,55,0.0,0.0,0.023330665708893,0.023330665708893,True,True
Polarizability,Progressive,56,0.0,0.0,0.006419955598516,0.006419955598516,True,True
Polarizability,DNGOJoint,42,0.0,0.0,0.023330665708893,0.023330665708893,True,True
Polarizability,DNGOJoint,43,0.0,0.0,0.0368785419343329,0.0368785419343329,True,True
Polarizability,DNGOJoint,44,0.0,0.0,0.026387787422472,0.026387787422472,True,True
Polarizability,DNGOJoint,45,0.0,0.0,0.023330665708893,0.023330665708893,True,True
Polarizability,DNGOJoint,46,0.0,0.0,0.0,0.0,True,True
Park-Unfav,PseudoLabeling,52,0.0,0.0,0.2078854231969906,0.2078854231969906,True,True
Park-Unfav,PseudoLabeling,53,0.0,0.0,0.029872897270092,0.029872897270092,True,True
Park-Unfav,PseudoLabeling,54,0.0,0.0,5.149418173699922e-09,5.149418173699922e-09,True,True
Park-Unfav,PseudoLabeling,55,0.0,0.0,0.3584547439136677,0.3584547439136677,True,True
Park-Unfav,PseudoLabeling,56,0.0,0.0,0.2078854214511458,0.2078854214511458,True,True
FreeSolv,Curriculum,57,0.0,0.0,0.2190528634361217,0.2190528634361217,True,True
FreeSolv,Curriculum,58,0.0,0.0,0.029735682819383,0.029735682819383,True,True
FreeSolv,Curriculum,59,0.0,0.0,0.3825991189427284,0.3825991189427284,True,True
FreeSolv,Curriculum,60,0.0,0.0,0.0284140969162993,0.0284140969162993,True,True
FreeSolv,Curriculum,61,0.0,0.0,0.3026431718061652,0.3026431718061652,True,True
