cell,r2,top10,adv_TL_MFGP,adv_TL_var,adv_var_MFGP,auc_TL_MFGP,auc_TL_var,auc_var_MFGP
cell_30,0.8036,0.1,0.11035805626598467,0.035677749360613714,0.07468030690537096,0.11157612742400211,0.05445735806705723,0.057118769356944876
cell_31,0.8176,0.3,0.07001278772378519,0.017838874680306857,0.052173913043478334,0.07575444872500452,0.05027153679303302,0.025482911931971497
cell_32,0.7803,0.4,0.09130434782608698,0.008919437340153429,0.08238491048593355,0.06894336711019029,0.03869925377966259,0.030244113330527705
cell_33,0.7974,0.6,0.0,0.0,0.0,0.04981681720569325,0.030442336538357536,0.019374480667335714
cell_34,0.8027,0.6,0.0,0.0,0.0,0.06050023201355374,0.03932899521944142,0.02117123679411232
cell_35,0.817,0.8,0.0,0.0,0.0,0.05024577249722113,0.023499465829259474,0.026746306667961656
cell_36,0.8144,0.0,0.24143222506393858,0.12519181585677747,0.11624040920716111,0.17030927946302382,0.10147112780169878,0.06883815166132504
cell_37,0.8363,0.1,0.09178388746803065,0.04536445012787714,0.04641943734015351,0.10014952733982962,0.06074175542534013,0.03940777191448949
cell_38,0.8493,0.3,0.07317774936061375,0.057161125319693,0.016016624040920746,0.08863126841270354,0.06042819989856148,0.02820306851414206
cell_39,0.8616,0.4,0.053356777493606206,0.008919437340153435,0.04443734015345277,0.059610621904237784,0.027368156949075684,0.0322424649551621
cell_40,0.8947,0.5,0.0,0.0,0.0,0.047183733152038755,0.025912676573105656,0.0212710565789331
cell_41,0.9056,0.6,0.0,0.0,0.0,0.049521404599263824,0.027405926597386162,0.022115478001877666
cell_42,0.8883,0.7,0.0,0.0,0.0,0.035819115758576284,0.028931550605932888,0.006887565152643396
cell_43,0.8694,0.8,0.0,0.0,0.0,0.05084604012215771,0.03459834676853661,0.01624769335362109
cell_44,0.1021,0.0,0.08241687979539634,0.030754475703324808,0.05166240409207154,0.1386417225117894,0.05555631994129504,0.08308540257049438
cell_45,0.0983,0.1,0.10271739130434776,0.0,0.10271739130434776,0.12749461782511567,0.05648450904852841,0.07101010877658726
cell_46,0.1233,0.3,0.07135549872122744,0.05351662404092058,0.017838874680306864,0.07301331649886136,0.05400972028877583,0.01900359621008553
cell_47,0.1367,0.4,0.01783887468030686,0.0,0.01783887468030686,0.07236408322272195,0.0345093183118044,0.03785476491091755
cell_48,0.1492,0.5,0.02675831202046029,0.0,0.02675831202046029,0.0775763621353877,0.03415994906493118,0.04341641307045652
cell_49,0.1916,0.0,0.24005754475703323,0.039865728900255734,0.2001918158567775,0.17800504764371375,0.05792036269653697,0.12008468494717678
cell_50,0.2002,0.1,0.14856138107416872,0.06879795396419423,0.07976342710997449,0.14774494965845447,0.06466217747418161,0.08308277218427285
cell_51,0.2126,0.3,0.01860613810741686,0.0,0.01860613810741686,0.11995761705893127,0.05206006453214162,0.06789755252678965
cell_52,0.2004,0.4,0.01783887468030686,0.0,0.01783887468030686,0.08933074881025589,0.02273328153495836,0.06659746727529753
cell_53,0.2053,0.5,0.02675831202046029,0.0,0.02675831202046029,0.08943738062093282,0.023078604033798293,0.06635877658713453
cell_54,0.2089,0.5,0.02675831202046029,0.0,0.02675831202046029,0.09769274660882497,0.017539954892248487,0.0801527917165765
cell_55,0.2751,0.7,0.0,0.0,0.0,0.04344184013726544,0.025297570872047037,0.0181442692652184
cell_56,0.2641,0.0,0.2042199488491049,0.0,0.2042199488491049,0.1652065999762594,0.019688778097920412,0.14551782187833898
cell_57,0.3012,0.1,0.12023657289002553,0.008919437340153429,0.11131713554987209,0.12773681569490752,0.05588019467555863,0.07185662101934889
cell_58,0.3205,0.2,0.10677749360613797,0.04459718670076715,0.062180306905370825,0.11777790367660546,0.05139680252948722,0.06638110114711823
cell_59,0.2416,0.4,0.03567774936061372,0.0,0.03567774936061372,0.1264827284793938,0.0359621008557521,0.09052062762364169
cell_60,0.2634,0.5,0.0722186700767263,0.0,0.0722186700767263,0.13108907431987643,0.03621704598184876,0.09487202833802766
cell_61,0.249,0.6,0.07135549872122744,0.03567774936061372,0.03567774936061372,0.0760699601799992,0.03335646724292349,0.042713492937075714
cell_62,0.2819,0.7,0.0,0.0,0.0,0.04606548177884226,0.021373574195776117,0.024691907583066143
cell_63,0.2874,0.8,0.0,0.0,0.0,0.04078447559541126,0.020805680555105746,0.019978795040305516
cell_64,0.2951,1.0,0.0,0.0,0.0,0.064140956327495,0.03905246743716728,0.02508848889032772
cell_65,0.2951,1.0,0.0,0.0,0.0,0.04749533275060139,0.01809840612084116,0.029396926629760227
cell_66,0.3006,1.0,0.0,0.0,0.0,0.04942967831050942,0.01286056524976517,0.03656911306074425
cell_67,0.3577,0.1,0.16265984654731455,0.01783887468030686,0.1448209718670077,0.12022159992230247,0.009326540192301364,0.1108950597300011
cell_68,0.4135,0.6,0.07173913043478244,0.03567774936061372,0.03606138107416872,0.09869317016845255,0.04498149287232767,0.05371167729612489
cell_69,0.3976,0.8,0.0,0.0,0.0,0.03202056827133696,0.02215594548221033,0.009864622789126629
cell_70,0.4149,1.0,0.0,0.0,0.0,0.04961043305599593,0.025478325617533562,0.02413210743846237
cell_71,0.4207,1.0,0.0,0.0,0.0,0.049917985906525256,0.02624450991183467,0.023673475994690586
cell_72,0.4226,1.0,0.0,0.0,0.0,0.03495311167945415,0.024346585084226137,0.01060652659522801
cell_73,0.5134,0.1,0.11694373401534519,0.06879795396419422,0.04814578005115097,0.08994180776328138,0.039545361347620836,0.050396446415660545
cell_74,0.5041,1.0,0.0,0.0,0.0,0.0431207981266252,0.015265682497544869,0.027855115629080326
cell_75,0.4946,1.0,0.0,0.0,0.0,0.0784920737695185,0.01621397045334358,0.062278103316174914
cell_76,0.5947,0.1,0.10278132992327361,0.07640664961636827,0.026374680306905346,0.13192432311394564,0.08695180053309155,0.044972522580854074
cell_77,0.5454,0.1,0.1432544757033248,0.03692455242966751,0.10632992327365728,0.10585611652476072,0.03455416976917344,0.07130194675558728
cell_78,0.609,0.6,0.09331841432225055,0.04459718670076715,0.0487212276214834,0.0719822725457822,0.035392048949464114,0.03659022359631808
cell_79,0.5777,0.6,0.0992647058823529,0.05351662404092058,0.045748081841432316,0.07006101147118173,0.03206413825849533,0.0379968732126864
cell_80,0.5348,0.9,0.00891943734015343,0.0,0.00891943734015343,0.061240854349444665,0.029599264031424193,0.031641590318020475
cell_81,0.592,1.0,0.0,0.0,0.0,0.04679794317286604,0.019997679864460792,0.02680026330840525
cell_82,0.6887,0.1,0.151118925831202,0.060326086956521655,0.09079283887468037,0.13687538444106317,0.053265388433854546,0.08360999600720864
cell_83,0.6906,1.0,0.0,0.0,0.0,0.04535325412498492,0.017081323448476685,0.028271930676508232
cell_84,0.6906,1.0,0.0,0.0,0.0,0.04535325412498492,0.017081323448476685,0.028271930676508232
cell_85,0.6967,1.0,0.0,0.0,0.0,0.03752684342862053,0.02834207430908502,0.009184769119535509
cell_86,0.7566,0.1,0.13810741687979533,0.0636828644501278,0.07442455242966753,0.12607643497685256,0.028210420106402456,0.09786601487045009
cell_87,0.7866,0.4,0.1070012787723785,0.05351662404092058,0.05348465473145792,0.10665022338049138,0.014905926597386349,0.09174429678310503
cell_88,0.8001,1.0,0.0,0.0,0.0,0.027009345290124664,0.01851657008428015,0.008492775205844513
cell_89,0.8036,1.0,0.0,0.0,0.0,0.02729261765245431,0.01835470016294894,0.008937917489505374
cell_90,0.8997,1.0,0.0,0.0,0.0,0.03319007845295498,0.007918136985118701,0.025271941467836276
cell_91,0.9047,1.0,0.0,0.0,0.0,0.03216894903255723,0.007371826000625838,0.024797123031931392
cell_92,0.114,0.2,0.12397698209718659,0.04459718670076715,0.07937979539641944,0.12602531106003215,0.07081303214736626,0.055212278912665905
cell_93,0.1277,0.6,0.12359335038363159,0.00891943734015343,0.11467391304347815,0.1366393915849223,0.06020084010489154,0.07643855148003077
cell_94,0.1308,0.7,0.12359335038363159,0.02675831202046029,0.0968350383631713,0.13505846201992078,0.0603129350254134,0.07474552699450737
cell_95,0.1345,0.8,0.12359335038363159,0.02675831202046029,0.0968350383631713,0.1378062039345182,0.07169785360484295,0.06610835032967526
cell_96,0.1394,0.9,0.09683503836317131,0.0,0.09683503836317131,0.1293159242232941,0.035403649627159396,0.09391227459613471
cell_97,0.1425,1.0,0.0603580562659846,0.0,0.0603580562659846,0.09518706767241836,0.026430660321365585,0.06875640735105278
cell_98,0.2053,0.2,0.07538363171355486,0.04459718670076715,0.03078644501278771,0.08655737749144783,0.057743384915881435,0.028813992575566397
cell_99,0.2291,0.7,0.07135549872122744,0.00891943734015343,0.062436061381074014,0.0743676281739993,0.04907767867741463,0.025289949496584682
