benchmark,model,ece_lf_mean,ece_lf_final,attainment,n_att,se
Elastic-SevenNet,Progressive,0.13248697257171788,0.10644256856360276,0.6752314814814815,40,0.0383469501291023
Elastic-SevenNet,Sequential,0.11446182521146295,0.1004672233998852,0.7300925925925925,40,0.0279877903091221
Elastic-SevenNet,Soft Parameter Sharing,0.1532530996771077,0.14738803333285463,0.7335648148148148,40,0.0318506086671302
Elastic-SevenNet,Sparse MFGP,0.3107334437481831,0.3050546993834425,0.7247685185185185,40,0.0300985046059069
Elastic-SevenNet,Stop-Gradient Joint,0.07589116181312501,0.06411792250654154,0.6909722222222222,40,0.0372968208436845
ExptGap-PBE,Adapter,0.08217968357101113,0.07814407266747823,0.3486111111111111,40,0.0285900354797387
ExptGap-PBE,DKL,0.2671662154432386,0.16439703254925997,0.2898148148148148,40,0.0370788581548022
ExptGap-PBE,Domain Adaptation (MMD),0.08864143218079683,0.091256967754003,0.3979166666666667,40,0.0338010727543532
ExptGap-PBE,End-to-End Joint,0.08915056984477358,0.08502498684839535,0.3648148148148148,40,0.0270638713443677
ExptGap-PBE,Feature-extraction transfer,0.08779009023282996,0.07832012918545897,0.3821759259259258,40,0.0225174953670413
ExptGap-PBE,MFGP,0.16680783538147637,0.1870018399494089,0.3328703703703704,40,0.030553307206699
ExptGap-PBE,Pretrain-then-Joint,0.10899623791290167,0.11378388962365485,0.3784722222222222,40,0.0288876627795787
ExptGap-PBE,Progressive,0.10827377953196327,0.10686311027589035,0.3835648148148148,40,0.0339606857750088
ExptGap-PBE,Sequential,0.08576510118531902,0.07906650390848555,0.3773148148148148,40,0.0211215163624371
ExptGap-PBE,Soft Parameter Sharing,0.11615910241107116,0.1336640486153286,0.4097222222222221,40,0.0328900934635204
ExptGap-PBE,Sparse MFGP,0.20483646879165654,0.20752200874841414,0.3372685185185185,40,0.027509162406417
ExptGap-PBE,Stop-Gradient Joint,0.08146804002977814,0.07211953505798291,0.4055555555555556,40,0.0272790783014249
FreeSolv,Adapter,0.25220883829249174,0.18031349288575768,0.927941176470588,40,0.0074759280423003
FreeSolv,DKL,0.36594842299991004,0.37302879182223103,0.920098039215686,40,0.0077351636461075
FreeSolv,Domain Adaptation (MMD),0.2479721045433026,0.16354470576046412,0.9284313725490196,40,0.0082340371086925
FreeSolv,End-to-End Joint,0.2527217391261646,0.1846396256389004,0.9367647058823528,40,0.0047350934757276
FreeSolv,Feature-extraction transfer,0.25242287954857584,0.1825097836652686,0.930392156862745,40,0.0070888557265182
FreeSolv,MFGP,0.09770297785893545,0.043336281421385625,0.9377450980392156,40,0.0045438579182884
FreeSolv,Pretrain-then-Joint,0.2284304286097422,0.13788846871114793,0.932843137254902,40,0.0063918568930284
FreeSolv,Progressive,0.22431254712365414,0.13271895289404614,0.9377450980392156,40,0.0045438579182884
FreeSolv,Sequential,0.2524217039893028,0.18201686355322283,0.9338235294117644,40,0.0054240566534246
FreeSolv,Soft Parameter Sharing,0.24029882827287122,0.15275714877745544,0.9377450980392156,40,0.0045438579182884
FreeSolv,Sparse MFGP,0.06476155893889825,0.034342105126475175,0.8985294117647058,40,0.010986663708506
FreeSolv,Stop-Gradient Joint,0.2609877211015238,0.18853241477048766,0.9338235294117644,40,0.0054240566534246
