cell,r2,top10,TL|GP-base,TL|GP variants,GP variants|GP-base,ri,ti
cell_41,0.9056,0.6,0.0,0.0,0.0,8,6
cell_42,0.8883,0.7,0.0,0.0,0.0,8,7
cell_43,0.8694,0.8,0.0,0.0,0.0,8,8
cell_44,0.1021,0.0,0.08241687979539634,0.030754475703324808,0.05166240409207154,0,0
cell_45,0.0983,0.1,0.10271739130434776,0.0,0.10271739130434776,0,1
cell_46,0.1233,0.3,0.07135549872122744,0.05351662404092058,0.017838874680306864,0,3
cell_47,0.1367,0.4,0.01783887468030686,0.0,0.01783887468030686,0,4
cell_48,0.1492,0.5,0.02675831202046029,0.0,0.02675831202046029,0,5
cell_49,0.1916,0.0,0.2578964194373401,0.0577046035805626,0.2001918158567775,1,0
cell_50,0.2002,0.1,0.14856138107416872,0.06879795396419423,0.07976342710997449,1,1
cell_51,0.2126,0.3,0.01860613810741686,0.0,0.01860613810741686,1,3
cell_52,0.2004,0.4,0.01783887468030686,0.0,0.01783887468030686,1,4
cell_53,0.2053,0.5,0.02675831202046029,0.0,0.02675831202046029,1,5
cell_54,0.2089,0.5,0.02675831202046029,0.0,0.02675831202046029,1,5
cell_55,0.2751,0.7,0.0,0.0,0.0,2,7
cell_56,0.2641,0.0,0.2577365728900255,0.05351662404092058,0.2042199488491049,2,0
cell_57,0.3012,0.1,0.13807544757033238,0.02675831202046029,0.11131713554987209,2,1
cell_58,0.3205,0.2,0.10677749360613797,0.04459718670076715,0.062180306905370825,2,2
cell_59,0.2416,0.4,0.03567774936061372,0.0,0.03567774936061372,1,4
cell_60,0.2634,0.5,0.0722186700767263,0.0,0.0722186700767263,2,5
cell_61,0.249,0.6,0.07135549872122744,0.03567774936061372,0.03567774936061372,1,6
cell_62,0.2819,0.7,0.0,0.0,0.0,2,7
cell_63,0.2874,0.8,0.0,0.0,0.0,2,8
cell_64,0.2951,1.0,0.0,0.0,0.0,2,10
cell_65,0.2951,1.0,0.0,0.0,0.0,2,10
cell_66,0.3006,1.0,0.0,0.0,0.0,2,10
cell_67,0.3577,0.1,0.18049872122762142,0.03567774936061372,0.1448209718670077,3,1
cell_68,0.4135,0.6,0.07173913043478244,0.03567774936061372,0.03606138107416872,3,6
cell_69,0.3976,0.8,0.0,0.0,0.0,3,8
cell_70,0.4149,1.0,0.0,0.0,0.0,3,10
cell_71,0.4207,1.0,0.0,0.0,0.0,3,10
cell_72,0.4226,1.0,0.0,0.0,0.0,3,10
cell_73,0.5134,0.1,0.12586317135549863,0.07771739130434767,0.04814578005115096,4,1
cell_74,0.5041,1.0,0.0,0.0,0.0,4,10
cell_75,0.4946,1.0,0.0,0.0,0.0,4,10
cell_76,0.5947,0.1,0.12062020460358047,0.09424552429667513,0.026374680306905346,5,1
cell_77,0.5454,0.1,0.17001278772378509,0.0636828644501278,0.10632992327365728,4,1
cell_78,0.609,0.6,0.09331841432225055,0.04459718670076715,0.0487212276214834,5,6
cell_79,0.5777,0.6,0.0992647058823529,0.05351662404092058,0.045748081841432316,5,6
cell_80,0.5348,0.9,0.00891943734015343,0.0,0.00891943734015343,4,9
cell_81,0.592,1.0,0.0,0.0,0.0,5,10
cell_82,0.6887,0.1,0.16895780051150888,0.07816496163682851,0.09079283887468037,6,1
cell_83,0.6906,1.0,0.0,0.0,0.0,6,10
cell_84,0.6906,1.0,0.0,0.0,0.0,6,10
cell_85,0.6967,1.0,0.0,0.0,0.0,6,10
cell_86,0.7566,0.1,0.14702685421994877,0.07260230179028124,0.07442455242966753,7,1
cell_87,0.7866,0.4,0.1070012787723785,0.05351662404092058,0.05348465473145792,7,4
cell_88,0.8001,1.0,0.0,0.0,0.0,7,10
cell_89,0.8036,1.0,0.0,0.0,0.0,7,10
cell_90,0.8997,1.0,0.0,0.0,0.0,8,10
cell_91,0.9047,1.0,0.0,0.0,0.0,8,10
cell_92,0.114,0.2,0.12397698209718662,0.04459718670076715,0.07937979539641947,0,2
cell_93,0.1277,0.6,0.12359335038363162,0.00891943734015343,0.11467391304347818,0,6
cell_94,0.1308,0.7,0.12359335038363162,0.02675831202046029,0.09683503836317132,0,7
cell_95,0.1345,0.8,0.12359335038363162,0.02675831202046029,0.09683503836317132,0,8
cell_96,0.1394,0.9,0.09683503836317131,0.0,0.09683503836317131,0,9
cell_97,0.1425,1.0,0.0603580562659846,0.0,0.0603580562659846,0,10
cell_98,0.2053,0.2,0.07538363171355486,0.04459718670076715,0.03078644501278771,1,2
cell_99,0.2291,0.7,0.07135549872122744,0.00891943734015343,0.062436061381074014,1,7
