benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,numpy_fit_flops,numpy_predict_flops,fit_flops,predict_flops,ok,elapsed,err
Branin-Fav,Knowledge Distillation,42,0.7,17,181,198,2500,2,14933943,22445000,997155639,65005000,1,0.99,
Branin-Fav,Knowledge Distillation,42,1.0,24,259,283,2500,2,15490296,22445000,1419866104,65005000,1,0.97,
Branin-Fav,Knowledge Distillation,43,0.1,2,26,28,2500,2,13959558,22445000,153528454,65005000,1,0.88,
Branin-Fav,Knowledge Distillation,43,0.3,7,78,85,2500,2,14251353,22445000,436405465,65005000,1,0.93,
Branin-Fav,Knowledge Distillation,43,0.5,12,130,142,2500,2,14576148,22445000,719315476,65005000,1,1.07,
Branin-Fav,Knowledge Distillation,43,0.7,17,181,198,2500,2,14933943,22445000,997155639,65005000,1,1.24,
Branin-Fav,Knowledge Distillation,43,1.0,24,259,283,2500,2,15490296,22445000,1419866104,65005000,1,1.15,
Branin-Fav,Domain Adaptation (MMD),42,0.1,2,26,28,2500,2,13959558,22445000,224045702,65005000,1,3.89,
Branin-Fav,Domain Adaptation (MMD),42,0.3,7,78,85,2500,2,14251353,22445000,650491609,65005000,1,1.67,
Branin-Fav,Domain Adaptation (MMD),42,0.5,12,130,142,2500,2,14576148,22445000,1076970516,65005000,1,1.81,
Branin-Fav,Domain Adaptation (MMD),42,0.7,17,181,198,2500,2,14933943,22445000,1495862327,65005000,1,2.04,
Branin-Fav,Domain Adaptation (MMD),42,1.0,24,259,283,2500,2,15490296,22445000,2132658936,65005000,1,1.23,
Branin-Fav,Domain Adaptation (MMD),43,0.1,2,26,28,2500,2,13959558,22445000,224045702,65005000,1,1.88,
Branin-Fav,Domain Adaptation (MMD),43,0.3,7,78,85,2500,2,14251353,22445000,650491609,65005000,1,1.69,
Branin-Fav,Domain Adaptation (MMD),43,0.5,12,130,142,2500,2,14576148,22445000,1076970516,65005000,1,1.72,
Branin-Fav,Domain Adaptation (MMD),43,0.7,17,181,198,2500,2,14933943,22445000,1495862327,65005000,1,1.4,
Branin-Fav,Domain Adaptation (MMD),43,1.0,24,259,283,2500,2,15490296,22445000,2132658936,65005000,1,4.23,
Branin-Fav,Soft Parameter Sharing,42,0.1,2,26,28,2500,2,13959558,22445000,167301254,65005000,1,1.91,
Branin-Fav,Soft Parameter Sharing,42,0.3,7,78,85,2500,2,14251353,22445000,484610265,65005000,1,1.97,
Branin-Fav,Soft Parameter Sharing,42,0.5,12,130,142,2500,2,14576148,22445000,801952276,65005000,1,2.01,
Branin-Fav,Soft Parameter Sharing,42,0.7,17,181,198,2500,2,14933943,22445000,1114224439,65005000,1,1.27,
Branin-Fav,Soft Parameter Sharing,42,1.0,24,259,283,2500,2,15490296,22445000,1585139704,65005000,1,3.84,
Branin-Fav,Soft Parameter Sharing,43,0.1,2,26,28,2500,2,13959558,22445000,167301254,65005000,1,1.3,
Branin-Fav,Soft Parameter Sharing,43,0.3,7,78,85,2500,2,14251353,22445000,484610265,65005000,1,1.49,
Branin-Fav,Soft Parameter Sharing,43,0.5,12,130,142,2500,2,14576148,22445000,801952276,65005000,1,1.26,
Branin-Fav,Soft Parameter Sharing,43,0.7,17,181,198,2500,2,14933943,22445000,1114224439,65005000,1,3.49,
Branin-Fav,Soft Parameter Sharing,43,1.0,24,259,283,2500,2,15490296,22445000,1585139704,65005000,1,1.87,
Branin-Fav,Pseudo-Labeling,42,0.1,2,26,28,2500,2,13959558,22445000,242958982,65005000,1,1.37,
Branin-Fav,Pseudo-Labeling,42,0.3,7,78,85,2500,2,14251353,22445000,704705625,65005000,1,1.42,
Branin-Fav,Pseudo-Labeling,42,0.5,12,130,142,2500,2,14576148,22445000,1166485268,65005000,1,1.6,
Branin-Fav,Pseudo-Labeling,42,0.7,17,181,198,2500,2,14933943,22445000,1619756087,65005000,1,1.61,
Branin-Fav,Pseudo-Labeling,42,1.0,24,259,283,2500,2,15490296,22445000,2310766712,65005000,1,1.48,
Branin-Fav,Pseudo-Labeling,43,0.1,2,26,28,2500,2,13959558,22445000,242958982,65005000,1,1.32,
Branin-Fav,Pseudo-Labeling,43,0.3,7,78,85,2500,2,14251353,22445000,704705625,65005000,1,3.47,
Branin-Fav,Pseudo-Labeling,43,0.5,12,130,142,2500,2,14576148,22445000,1166485268,65005000,1,1.44,
Branin-Fav,Pseudo-Labeling,43,0.7,17,181,198,2500,2,14933943,22445000,1619756087,65005000,1,1.48,
Branin-Fav,Pseudo-Labeling,43,1.0,24,259,283,2500,2,15490296,22445000,2310766712,65005000,1,1.53,
Branin-Fav,Adapter,42,0.1,2,26,28,2500,2,13959558,22445000,154561158,43885000,1,1.26,
Branin-Fav,Adapter,42,0.3,7,78,85,2500,2,14251353,22445000,440019929,43885000,1,1.27,
Branin-Fav,Adapter,42,0.5,12,130,142,2500,2,14576148,22445000,725511700,43885000,1,1.3,
Branin-Fav,Adapter,42,0.7,17,181,198,2500,2,14933943,22445000,1005933623,43885000,1,1.26,
Branin-Fav,Adapter,42,1.0,24,259,283,2500,2,15490296,22445000,1432258552,43885000,1,1.32,
Branin-Fav,Adapter,43,0.1,2,26,28,2500,2,13959558,22445000,154561158,43885000,1,1.19,
Branin-Fav,Adapter,43,0.3,7,78,85,2500,2,14251353,22445000,440019929,43885000,1,3.34,
Branin-Fav,Adapter,43,0.5,12,130,142,2500,2,14576148,22445000,725511700,43885000,1,1.32,
Branin-Fav,Adapter,43,0.7,17,181,198,2500,2,14933943,22445000,1005933623,43885000,1,1.35,
Branin-Fav,Adapter,43,1.0,24,259,283,2500,2,15490296,22445000,1432258552,43885000,1,1.37,
Branin-Unfav,MFGP,42,0.1,2,5,7,2500,2,0,0,175616,87780784,1,2.9,
Branin-Unfav,MFGP,42,0.3,7,16,23,2500,2,0,0,8227008,290268464,1,5.81,
Branin-Unfav,MFGP,42,0.5,12,26,38,2500,2,0,0,16193016,482433104,1,2.87,
Branin-Unfav,MFGP,42,0.7,17,36,53,2500,2,0,0,42067584,676854944,1,3.15,
Branin-Unfav,MFGP,42,1.0,24,52,76,2500,2,0,0,179679808,979352416,1,3.97,
Branin-Unfav,MFGP,43,0.1,2,5,7,2500,2,0,0,47040,87780784,1,1.83,
Branin-Unfav,MFGP,43,0.3,7,16,23,2500,2,0,0,4570560,290268464,1,2.64,
Branin-Unfav,MFGP,43,0.5,12,26,38,2500,2,0,0,30384648,482433104,1,3.78,
Branin-Unfav,MFGP,43,0.7,17,36,53,2500,2,0,0,53022684,676854944,1,3.35,
Branin-Unfav,MFGP,43,1.0,24,52,76,2500,2,0,0,185513568,979352416,1,4.66,
Branin-Unfav,NARGP,42,0.1,2,5,7,2500,2,0,0,77184,87680040,1,2.19,
Branin-Unfav,NARGP,42,0.3,7,16,23,2500,2,0,0,1054618,289140490,1,1.9,
Branin-Unfav,NARGP,42,0.5,12,26,38,2500,2,0,0,3802568,479291440,1,2.15,
Branin-Unfav,NARGP,42,0.7,17,36,53,2500,2,0,0,11045178,670692890,1,2.45,
Branin-Unfav,NARGP,42,1.0,24,52,76,2500,2,0,0,33975584,966785760,1,2.49,
Branin-Unfav,NARGP,43,0.1,2,5,7,2500,2,0,0,44964,87680040,1,2.04,
